sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
338,"Saint Francis (PA) Red Flash",26,4.7,15.4,2.5,0.545,4.7,1.2,3.4,26.4,26.4,0.02,1.7,26.4,4.7,1.2,3.4,26.4,0,0,0,,0
338,"Rutgers Scarlet Knights",27,3.7,13.6,2,0.545,3.7,1,2.7,26.7,26.7,0.01,1,26.7,3.7,1,2.7,26.7,0,0,0,,0
340,"Queens University of Charlotte Royals",27,6.3,18.2,3.4,0.544,6.3,1.7,4.6,26.9,26.9,0.01,0.6,26.9,6.3,1.7,4.6,26.9,0,0,0,,0
341,"Hawaii Warriors",26,4.3,16.2,2.3,0.541,4.3,1.2,3.1,27,27,0,0,27,4.3,1.2,3.1,27,0,0,0,,0
341,"Drake Bulldogs",26,2.8,11.2,1.5,0.541,2.8,0.8,2.1,27,27,0,0,27,2.8,0.8,2.1,27,0,0,0,,0
343,"Ball State Cardinals",28,2.3,8.1,1.2,0.54,2.3,0.6,1.6,27,27,0,0,27,2.3,0.6,1.6,27,0,0,0,,0
344,"Boston University Terriers",27,1,4.7,0.5,0.538,1,0.3,0.7,26.9,26.9,0,0,26.9,1,0.3,0.7,26.9,0,0,0,,0
345,"Elon Phoenix",25,6,19.5,3.2,0.537,6,1.6,4.4,26.8,26.8,0,0,26.8,6,1.6,4.4,26.8,0,0,0,,0
346,"Grand Canyon University Antelopes",27,3.5,12.6,1.9,0.532,3.5,0.9,2.6,26.6,26.6,0,0,26.6,3.5,0.9,2.6,26.6,0,0,0,,0
347,"Jackson State Tigers",26,6.3,21.5,3.3,0.53,6.3,1.6,4.7,25.6,25.6,0.02,1.8,25.6,6.3,1.6,4.7,25.6,0,0,0,,0
348,"North Alabama Lions",27,4.5,14.8,2.4,0.529,4.5,1.2,3.3,26.4,26.4,0,0,26.4,4.5,1.2,3.3,26.4,0,0,0,,0
349,"Towson Tigers",26,4.5,13.8,2.4,0.525,4.5,1.2,3.3,26.3,26.3,0,0,26.3,4.5,1.2,3.3,26.3,0,0,0,,0
349,"New Haven Chargers",26,3.9,14.9,2,0.525,3.9,1,2.9,25.7,25.7,0.02,2,25.7,3.9,1,2.9,25.7,0,0,0,,0
349,"North Carolina A&T Aggies",25,4,16.5,2.1,0.525,4,1,3,25.7,25.7,0.01,1,25.7,4,1,3,25.7,0,0,0,,0
352,"Bellarmine Knights",29,4.9,17.1,2.5,0.514,4.9,1.2,3.7,25.4,25.4,0.01,1.4,25.4,4.9,1.2,3.7,25.4,0,0,0,,0
353,"Harvard Crimson",24,4.4,15.7,2.3,0.509,4.4,1.1,3.3,25.5,25.5,0,0,25.5,4.4,1.1,3.3,25.5,0,0,0,,0
354,"Cal State Bakersfield Roadrunners",26,5.3,17.6,2.7,0.507,5.3,1.3,4,25.4,25.4,0,0,25.4,5.3,1.3,4,25.4,0,0,0,,0
355,"Southern Methodist Mustangs",28,4.3,15.7,2.1,0.504,4.3,1.1,3.2,25.2,25.2,0,0,25.2,4.3,1.1,3.2,25.2,0,0,0,,0
356,"Alcorn State Braves",25,3.6,13.4,1.8,0.5,3.6,0.9,2.7,24.4,24.4,0.01,1.1,24.4,3.6,0.9,2.7,24.4,0,0,0,,0
357,"Arkansas-(Pine Bluff) Golden Lions",25,5.5,21.8,2.7,0.486,5.5,1.3,4.2,23.9,23.9,0.01,0.7,23.9,5.5,1.3,4.2,23.9,0,0,0,,0
358,"Niagara Purple Eagles",27,4.7,18.9,2.3,0.484,4.7,1.1,3.6,24.2,24.2,0.01,0.8,24.2,4.7,1.1,3.6,24.2,0,0,0,,0
359,"Northern Illinois Huskies",27,2.6,12.2,1.2,0.451,2.6,0.6,2,22.5,22.5,0.01,1.4,22.5,2.6,0.6,2,22.5,0,0,0,,0
360,"Valparaiso University",27,3,9.7,1.3,0.45,3,0.7,2.3,22.5,22.5,0,0,22.5,3,0.7,2.3,22.5,0,0,0,,0
361,"Presbyterian Blue Hose",26,6.4,25.3,2.8,0.434,6.4,1.4,5,21.7,21.7,0,0,21.7,6.4,1.4,5,21.7,0,0,0,,0
362,"Liberty Flames",26,2.8,11.4,1.2,0.432,2.8,0.6,2.2,21.6,21.6,0,0,21.6,2.8,0.6,2.2,21.6,0,0,0,,0
363,"California Golden Bears",29,2.1,8.1,0.7,0.333,2.1,0.3,1.7,16.7,16.7,0,0,16.7,2.1,0.3,1.7,16.7,0,0,0,,0
