sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
255,"Eastern Kentucky Colonels",12,18,21.1,12.8,0.713,15.2,4.3,10.8,28.6,36.3,11.1,6.5,0.14,6.5,28.2,5.3,2,3.3,37.5,9.8,2.3,7.5,23.7,0.65
255,"Bowling Green Falcons",12,18.4,21.1,16,0.869,16.4,5.8,10.7,35,44.7,8.1,4.1,0.08,4.1,33.9,6.3,2.6,3.8,40.8,10.1,3.2,6.9,31.4,0.61
255,"Albany Great Danes",13,14.9,21.1,10.7,0.716,12.8,3.9,8.9,30.5,38.3,9.8,4.6,0.1,4.6,29.9,4.7,1.9,2.8,41,8.2,2,6.2,24.5,0.63
255,"Akron Zips",11,18.7,21.1,15.1,0.806,16.3,5.4,10.9,33,41.9,8.7,4.9,0.11,4.9,33,6.3,2.5,3.8,39.1,10,2.9,7.1,29.1,0.61
255,"Lipscomb Bisons",11,17.7,21.1,14.8,0.836,15.6,5,10.6,32,44.2,9.2,3.6,0.08,3.6,30.8,4.5,1.2,3.3,26.5,11.2,3.8,7.4,34.1,0.72
260,"St. John's Red Storm",14,16.1,21,12.8,0.796,13.7,4.2,9.5,30.7,39.1,7.1,9.3,0.2,8.9,33.3,5.5,1.9,3.6,35.1,8.2,2.3,5.9,27.8,0.6
260,"West Georgia Wolves",10,18.1,21,15.5,0.856,15.7,5.4,10.3,34.4,45.2,9.9,3.9,0.09,3.3,33.1,5,2,3,40,10.7,3.4,7.3,31.8,0.68
260,"Troy Trojans",12,19.3,21,14.8,0.763,17.7,5,12.7,28.3,38.2,4.3,4.3,0.09,3.4,30.2,5.8,1.5,4.3,26.1,11.9,3.5,8.4,29.4,0.67
260,"South Carolina Gamecocks",13,18,21,11.6,0.645,15.7,3.8,11.9,24,32.4,8.5,6.4,0.12,6,24.8,5.2,1.2,4,22.4,10.5,2.6,7.9,24.8,0.67
264,"Ohio State Buckeyes",12,18.7,20.9,14.3,0.763,15.9,4.9,11,30.9,40.8,10.7,5.4,0.11,4.9,29.9,6.3,1.8,4.5,28,9.7,3.2,6.5,32.8,0.61
264,"Middle Tennessee State Blue Raiders",12,16.7,20.9,11.3,0.675,14.8,4,10.8,27,36,7,4.5,0.1,4.5,26,4.8,1.3,3.4,28.1,10.1,2.7,7.4,26.4,0.68
264,"Houston Cougars",12,18.1,20.9,15.6,0.862,16.3,5.3,10.9,32.8,43.6,5.5,5.1,0.11,5.1,33.6,5.1,1.8,3.3,36.1,11.2,3.5,7.7,31.3,0.69
264,"Florida Gators",14,17.6,20.9,13.8,0.785,14.1,4.8,9.4,33.8,42.7,13,7.7,0.18,6.5,32.5,5.1,2.3,2.9,44.4,9,2.5,6.5,27.8,0.64
268,"UCF Knights",12,17.7,20.8,13.3,0.755,15,4.2,10.8,27.8,38.1,8.5,7.1,0.16,7.1,29.7,5.3,1.1,4.2,20.6,9.8,3.1,6.7,31.6,0.65
268,"George Washington Revolutionaries",13,16.2,20.8,12.8,0.791,13.5,4.3,9.2,31.8,42,10.9,5.7,0.14,5.7,32.2,4.9,1.5,3.4,31.3,8.6,2.8,5.8,32.1,0.64
268,"Northeastern Huskies",10,16.6,20.8,13.9,0.837,14.8,4.7,10.1,31.8,42.9,6.6,4.2,0.09,4.2,32.5,3.7,1.4,2.3,37.8,11.1,3.3,7.8,29.7,0.75
268,"Mississippi Valley State Delta Devils",11,19.5,20.8,21.9,1.121,17.2,7.1,10.1,41.3,56.6,5.6,7,0.15,5.1,42.3,4.7,1.8,2.9,38.5,12.5,5.3,7.2,42.3,0.72
268,"Lamar Cardinals",10,16.4,20.8,11.8,0.72,13.7,4.4,9.3,32.1,39.1,12.8,6.7,0.12,6.7,29.9,5.6,2.5,3.1,44.6,8.1,1.9,6.2,23.5,0.59
273,"Austin Peay Governors",9,16.3,20.7,13.1,0.803,14,4.3,9.7,31,41.3,9.5,8.2,0.16,6.1,29.9,4.9,1.4,3.4,29.5,9.1,2.9,6.2,31.7,0.65
273,"Siena Saints",11,18.2,20.7,16.2,0.89,15.3,5.6,9.6,36.9,47.3,10.5,6.5,0.14,5,36.5,5.1,2.5,2.6,48.2,10.2,3.2,7,31.3,0.67
273,"UNC Greensboro Spartans",13,15.8,20.7,13,0.82,14,4.5,9.5,32.4,43.4,8.3,3.4,0.08,2.4,31.6,5,1.5,3.5,29.2,9,3.1,5.9,34.2,0.64
273,"High Point Panthers",13,17.8,20.7,15.5,0.866,14.6,5.5,9.2,37.4,48.2,13.8,4.7,0.11,4.3,34.9,6.2,2.3,3.8,37.5,8.5,3.2,5.3,37.3,0.58
273,"South Florida Bulls",13,17.2,20.7,17.1,0.991,15.1,5.8,9.3,38.3,51.5,7.1,6.7,0.14,6.7,37.9,4,1.8,2.2,44.2,11.1,4,7.1,36.1,0.73
273,"Murray State Racers",11,18.2,20.7,13.5,0.745,15.7,4.9,10.8,31.2,37.9,7.5,7.5,0.16,7,33,6.9,2.8,4.1,40.8,8.8,2.1,6.7,23.7,0.56
273,"Seattle Redhawks",11,18.1,20.7,14.3,0.789,16.4,5.2,11.2,31.7,40.3,4.5,5.5,0.12,5.5,33.2,7.2,2.4,4.8,32.9,9.2,2.8,6.4,30.7,0.56
280,"Grambling State Tigers",13,18,20.6,15.7,0.872,15.1,5.1,10,33.7,44.4,8.1,9.8,0.21,8.1,35.5,4.7,1.8,2.8,39.3,10.4,3.2,7.2,31.1,0.69
