sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
334,"Bethune-Cookman Wildcats",26,13.5,16.7,10.6,0.781,8.9,3.9,5,44,47.4,24.1,11.1,0.32,9.7,38.4,7.5,3.3,4.2,44.3,1.5,0.6,0.8,42.1,0.16
334,"Bellarmine Knights",30,8.8,11.1,6.9,0.781,6,2.5,3.5,41.4,47.8,23.8,9.4,0.25,7.9,35.1,3.6,1.7,1.8,48.6,2.5,0.8,1.7,31.1,0.41
336,"Western Michigan Broncos",26,10.5,13.4,8.2,0.78,7.8,3,4.8,38.7,45.3,18.3,8.1,0.2,5.9,35.2,4,2,2,50,3.8,1,2.8,27,0.49
336,"Rider Broncs",27,9.6,12.3,7.5,0.78,6.7,2.8,3.9,41.7,48.3,22,9.7,0.26,8.9,35.5,3.8,1.9,1.9,50,2.9,0.9,2,30.8,0.43
336,"Saint Peter's Peacocks",27,9.6,12.8,7.5,0.78,6.7,2.8,3.9,42.2,48.9,23.9,9.3,0.23,7.7,35.1,4,1.9,2.1,48.1,2.7,0.9,1.8,33.3,0.4
339,"Northeastern Huskies",25,17.6,21.7,13.6,0.775,13,5.4,7.6,41.4,44,18.6,10.5,0.25,10.2,37.5,10.6,4.7,5.9,44.3,2.4,0.7,1.7,28.3,0.19
340,"Stonehill College Skyhawks",25,10.8,13.8,8.4,0.774,8,3.3,4.7,41.5,44.5,18.9,8.1,0.21,8.1,37.4,5.2,2.8,2.3,55,2.8,0.5,2.4,16.9,0.36
341,"Coppin State Eagles",28,21.4,23.7,16.5,0.773,14.5,6.2,8.4,42.5,46.6,22.7,11,0.3,9.5,37.1,10.7,5,5.7,46.8,3.9,1.2,2.7,30.6,0.27
342,"Grambling State Tigers",27,19.1,20.6,14.7,0.77,14.3,5.8,8.5,40.6,43.5,17.4,9.5,0.23,8.7,37.3,10.8,5,5.9,45.9,3.5,0.9,2.7,24.2,0.25
342,"Middle Tennessee State Blue Raiders",26,8.3,11,6.4,0.77,6,2.4,3.6,39.7,45.5,21.7,8.8,0.22,6.9,35,3.2,1.7,1.5,53,2.8,0.7,2.1,24.7,0.47
344,"Presbyterian Blue Hose",27,17.7,21.1,13.6,0.769,12.1,5.1,7,42.5,45,19.1,14,0.39,12.4,39.2,10,4.6,5.4,45.7,2.1,0.6,1.6,27.6,0.18
344,"Canisius Golden Griffins",27,13,16.3,10,0.769,8.4,3.9,4.5,46.5,51.5,28,8,0.23,6.9,36.6,6.1,3.1,3,50.6,2.4,0.9,1.5,35.9,0.28
346,"Cal Poly SLO Mustangs",26,13,16,9.9,0.766,8.4,3.6,4.8,43.1,46.1,25.2,11.3,0.33,9.8,37.1,6.5,3.1,3.4,47.9,1.9,0.5,1.4,26.5,0.22
347,"New Mexico State Aggies",26,16.1,19.4,12.2,0.759,11.8,5.1,6.7,43.5,46.7,21.5,7.6,0.18,6.9,36.5,9,4.3,4.6,48.5,2.8,0.8,2,27.4,0.24
348,"Central Connecticut State Blue Devils",27,12.7,15.9,9.6,0.754,9,3.6,5.4,39.7,42.4,20.5,12.3,0.3,10.8,36.8,7.3,3.1,4.2,42.3,1.7,0.5,1.2,28.3,0.19
349,"Mississippi Valley State Delta Devils",25,20.1,21.8,15.1,0.753,13.4,5.4,8,40,44.3,23.7,11.2,0.31,8.6,36.3,9.5,4.2,5.3,44.3,3.9,1.2,2.8,29.6,0.29
350,"Alabama State Hornets",26,24,26.7,18,0.751,15.1,6.7,8.4,44.1,46.7,26.3,13.5,0.39,12.2,37.4,11.8,5.9,5.9,49.8,3.3,0.8,2.5,23.5,0.22
350,"Nevada Wolf Pack",27,12.5,15.9,9.4,0.751,8.7,3.8,4.9,43.6,44.9,22,9.2,0.25,8.6,37.1,7.4,3.6,3.9,48.3,1.3,0.2,1.1,17.1,0.15
350,"Saint Francis (PA) Red Flash",26,18.7,22.4,14,0.751,13.7,5.1,8.6,37.3,41.6,17.1,10.9,0.27,9.9,36.1,9.5,3.9,5.6,41.3,4.2,1.2,3,28.2,0.31
353,"Yale Bulldogs",24,13.5,16.5,10.1,0.747,10,4,6,40.4,43.8,20.7,6.8,0.16,6.2,34.6,7.3,3.4,4,46,2.7,0.7,2,25,0.27
354,"East Tennessee State Buccaneers",27,12.3,15.5,9.1,0.743,8.7,3.3,5.4,38.1,43,19,11.2,0.29,10.3,35,5.6,2.5,3.1,44.1,3.1,0.9,2.3,27.4,0.36
355,"Buffalo Bulls",27,18.8,21.5,13.9,0.74,12.6,5.3,7.3,42.1,45,23.6,11.4,0.31,9.4,36.8,9.7,4.6,5.1,46.9,2.9,0.7,2.1,25.6,0.23
356,"New Orleans Privateers",27,20.3,22.4,15,0.737,14.9,5.7,9.1,38.4,41.3,17.7,10.8,0.28,10.4,36.1,10.3,4.9,5.4,47.1,4.6,0.9,3.7,18.7,0.31
357,"San Jose State Spartans",29,15.7,19,11.5,0.736,10.6,4,6.6,37.9,45.4,22.9,11.2,0.31,9.7,33.7,5.5,2.4,3.1,44,5.1,1.6,3.5,31.3,0.48
358,"Niagara Purple Eagles",27,16.1,18.3,11.7,0.73,10.3,4.3,6,41.7,45.5,25.6,11.8,0.35,10.8,36.2,7.8,3.5,4.3,45.2,2.5,0.8,1.7,30.9,0.24
359,"Gardner-Webb Runnin Bulldogs",29,12.1,15.8,8.8,0.729,8.9,3.5,5.3,39.7,44.7,21.4,6.3,0.16,6,33.6,5.3,2.6,2.7,49.4,3.6,0.9,2.7,25.2,0.4
360,"Prairie View A&M Panthers",26,22.8,26.6,16.6,0.728,15.7,5.9,9.7,37.8,41.6,20.9,13.2,0.34,11.3,34.9,10.6,4.7,5.8,44.7,5.1,1.2,3.9,23.5,0.32
361,"Florida A&M Rattlers",26,15.9,18.3,11.5,0.722,10.8,4,6.8,36.9,37.9,18.6,15.5,0.42,14.3,37,8.9,3.8,5.1,42.4,2,0.2,1.7,11.8,0.18
362,"Valparaiso University",27,15.2,17.9,10.4,0.683,10.6,3.7,7,34.5,41.1,22.7,7.8,0.22,7.1,30.7,5.1,2.3,2.9,43.9,5.5,1.4,4.1,25.7,0.52
363,"Colgate Raiders",27,10.9,14,7.1,0.651,8.1,2.6,5.5,31.7,35.8,19.7,8.5,0.2,7.1,29.5,5.2,1.9,3.3,36.2,2.9,0.7,2.2,23.4,0.35
