sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
33,"Army Black Knights",27,10.1,13.6,12.1,1.19,7.9,4.8,3.1,60.7,60.7,8.8,18.6,0.41,17.5,58.8,7.9,4.8,3.1,60.7,0,0,0,,0
34,"Central Arkansas Bears",28,4.5,5.4,5.4,1.189,4,2.5,1.5,61.6,61.6,6.3,8.7,0.16,8.7,59.1,4,2.5,1.5,61.6,0,0,0,,0
34,"Davidson Wildcats",29,6.2,7.9,7.4,1.189,5.2,3.1,2.1,59.3,59.3,3.9,18.3,0.37,17.2,60,5.2,3.1,2.1,59.3,0,0,0,,0
36,"UC Davis Aggies",28,7.5,9.2,8.9,1.187,6.1,3.8,2.4,61.4,61.4,7.2,14.4,0.31,13.9,60.3,6.1,3.8,2.4,61.4,0,0,0,,0
37,"Texas A&M Aggies",22,4,4.7,4.8,1.18,3,1.9,1.1,63.1,63.1,13.5,15.7,0.4,15.7,59.6,3,1.9,1.1,63.1,0,0,0,,0
38,"South Florida Bulls",28,7.6,9.1,9,1.178,6.3,4.1,2.3,64.4,64.4,10.8,8.9,0.18,8.5,59.2,6.3,4.1,2.3,64.4,0,0,0,,0
39,"Northern Arizona Lumberjacks",28,7.3,8.4,8.5,1.177,5.6,3.4,2.3,59.9,59.9,7.4,19.7,0.46,19.7,59.1,5.6,3.4,2.3,59.9,0,0,0,,0
40,"Western Kentucky Hilltoppers",25,5.7,7.5,6.7,1.176,4.6,2.9,1.7,63.5,63.5,9.2,11.3,0.25,9.9,59.9,4.6,2.9,1.7,63.5,0,0,0,,0
41,"Dayton Flyers",27,4.8,5.9,5.6,1.169,3.5,2.3,1.2,65.3,65.3,13.1,18.5,0.44,18.5,60,3.5,2.3,1.2,65.3,0,0,0,,0
42,"Maryland Terrapins",27,8.2,9,9.6,1.167,6.4,4,2.4,62.1,62.1,12.2,14.5,0.3,14.5,57.5,6.4,4,2.4,62.1,0,0,0,,0
43,"Murray State Racers",26,7,7.8,8.2,1.165,5.3,3.3,2.1,61.2,61.2,9.9,17,0.4,15.9,59.3,5.3,3.3,2.1,61.2,0,0,0,,0
44,"North Carolina Tar Heels",28,5.2,6.3,6.1,1.164,4.3,2.6,1.7,60.8,60.8,8.9,13,0.27,13,58.9,4.3,2.6,1.7,60.8,0,0,0,,0
45,"N.J.I.T. Highlanders",28,7.1,9.1,8.3,1.161,5.9,3.6,2.3,61.4,61.4,7,12.1,0.26,11.6,59.8,5.9,3.6,2.3,61.4,0,0,0,,0
46,"Navy Midshipmen",26,6.7,8.2,7.8,1.16,5.8,3.5,2.3,60.5,60.5,6.3,7.4,0.16,7.4,59.4,5.8,3.5,2.3,60.5,0,0,0,,0
47,"Richmond Spiders",28,6.5,8.5,7.5,1.154,5.2,3.1,2.1,59.6,59.6,9.3,15.4,0.32,14.8,56.6,5.2,3.1,2.1,59.6,0,0,0,,0
48,"Stetson Hatters",26,6.1,7.8,7,1.151,4.9,3.1,1.8,63.8,63.8,10.7,11.3,0.25,10.1,60.4,4.9,3.1,1.8,63.8,0,0,0,,0
49,"Tulane Green Wave",26,7.2,8.4,8.3,1.149,5.7,3.7,2,64.9,64.9,11.7,11.2,0.26,11.2,58.5,5.7,3.7,2,64.9,0,0,0,,0
50,"California Baptist Lancers",27,7,8.1,8.1,1.147,5.7,3.4,2.3,59.4,59.4,9.5,12.1,0.26,12.1,57.4,5.7,3.4,2.3,59.4,0,0,0,,0
50,"Washington Huskies",27,6.3,7.8,7.2,1.147,5.1,3.1,2,60.1,60.1,10,12.4,0.26,11.2,57.1,5.1,3.1,2,60.1,0,0,0,,0
50,"Toledo Rockets",25,10.1,12.4,11.6,1.147,7.7,4.7,3,61.1,61.1,10.3,14.3,0.36,13.9,59.1,7.7,4.7,3,61.1,0,0,0,,0
53,"Gonzaga Bulldogs",29,9.2,11.1,10.6,1.146,7.6,4.6,3,60,60,7.9,13.9,0.29,12.7,57.7,7.6,4.6,3,60,0,0,0,,0
54,"Nebraska Cornhuskers",27,8.4,10.2,9.7,1.145,7,4.2,2.9,59.5,59.5,7,10.5,0.24,10.1,59.2,7,4.2,2.9,59.5,0,0,0,,0
54,"Jacksonville State Gamecocks",27,3.1,3.9,3.5,1.145,2.5,1.5,1,58.8,58.8,7.2,14.5,0.31,14.5,57.8,2.5,1.5,1,58.8,0,0,0,,0
56,"Harvard Crimson",24,6.4,7.7,7.3,1.144,5.5,3.3,2.3,59.4,59.4,8.5,9.8,0.17,9.8,56.2,5.5,3.3,2.3,59.4,0,0,0,,0
57,"Boise State Broncos",28,8.3,10,9.4,1.139,6.6,3.8,2.9,57,57,7.8,15.2,0.33,14.7,56.7,6.6,3.8,2.9,57,0,0,0,,0
58,"Eastern Michigan Eagles",25,5,6.1,5.7,1.136,4.1,2.5,1.6,61.2,61.2,10.4,10.4,0.21,10.4,56.8,4.1,2.5,1.6,61.2,0,0,0,,0
59,"High Point Panthers",28,7.5,9.1,8.5,1.133,6.1,3.6,2.5,58.5,58.5,7.6,15.7,0.33,15.2,58.6,6.1,3.6,2.5,58.5,0,0,0,,0
