sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
29,"UMKC Kangaroos",28,18.5,22.8,19,1.027,13,7,6.1,53.4,59.5,18.9,13.5,0.35,11.9,47.6,8.9,5.4,3.5,60.4,4.1,1.6,2.5,38.3,0.32
31,"Queens University of Charlotte Royals",27,19.7,23.9,20.2,1.026,14.7,7.9,6.8,53.5,58.8,16.9,11.1,0.27,9.2,47.7,9.7,6.3,3.4,64.6,4.9,1.6,3.4,31.6,0.34
31,"Northwestern Wildcats",27,14.5,17.6,14.9,1.026,11.4,5.7,5.7,49.8,55.8,12,12.3,0.27,11,47.1,7.9,4.3,3.6,54.9,3.6,1.4,2.2,38.5,0.31
33,"Valparaiso University",27,17.6,19.9,18,1.025,13.1,6.9,6.3,52.3,59,15.8,12.7,0.3,11.8,47.9,8.7,5.1,3.6,58.5,4.4,1.8,2.7,40,0.34
34,"Pittsburgh Panthers",29,16.4,19.7,16.7,1.021,13.1,6.4,6.7,48.7,55.3,12.8,10.5,0.22,9.9,45.5,8.4,4.7,3.8,55.3,4.7,1.7,3,36.8,0.36
35,"Illinois State Redbirds",27,11.4,14,11.7,1.019,8.4,4.2,4.2,50,55.9,15.5,15.2,0.36,14.9,46.6,5.8,3.2,2.6,55.8,2.7,1,1.7,37.5,0.32
36,"Houston Christian Huskies",26,14.6,17.5,14.8,1.018,10,5.4,4.6,54.1,59.8,20.8,14.8,0.38,14,47,7,4.2,2.7,60.8,3,1.2,1.8,38.5,0.3
37,"Washington Huskies",28,10.5,13.3,10.7,1.017,8.4,4.3,4,51.7,57.9,14.6,7.1,0.16,7.1,46.6,5.8,3.3,2.5,56.8,2.6,1,1.5,40.3,0.31
38,"Providence Friars",29,14.6,18.3,14.8,1.014,11.3,5.3,6,47.1,55,13,11.3,0.27,10.6,45.6,6.5,3.5,3,54.3,4.8,1.8,3,37.4,0.43
39,"Missouri Tigers",29,14,16.1,14.2,1.01,10.9,5.2,5.8,47.3,54.9,14.3,10.8,0.24,9.8,44.7,6.5,3.5,3,54,4.4,1.7,2.8,37.5,0.4
39,"Niagara Purple Eagles",27,26.5,29.7,26.7,1.01,19.1,10.1,9,52.8,58.3,17.6,12.4,0.32,9.8,47.7,13.3,8,5.3,60.3,5.8,2.1,3.7,35.7,0.3
41,"USC Upstate Spartans",27,14.8,18.5,14.9,1.008,11.1,5.3,5.9,47.5,54.2,13.8,13,0.31,11.5,46.1,6.8,3.8,3,56.3,4.4,1.5,2.9,33.9,0.39
42,"New Orleans Privateers",27,20.9,22.6,21.1,1.007,14.8,7.7,7.1,51.7,57.6,18.4,13.8,0.35,12.2,46.7,9.7,5.9,3.7,61.3,5.1,1.7,3.4,33.8,0.35
42,"Seattle Redhawks",27,21,24.3,21.2,1.007,16.6,8.6,8,51.9,57.8,15.1,7.7,0.18,6.9,46.1,10.8,6.6,4.2,61.3,5.7,2,3.8,34.2,0.35
42,"Detroit Titans",27,16.1,19.5,16.2,1.007,12.1,6.3,5.9,51.5,57.2,16.4,11.3,0.26,10.6,47,7.7,4.9,2.9,63.2,4.4,1.4,3,31.1,0.36
45,"Northern Illinois Huskies",27,12,15.2,12.1,1.006,8.9,4.3,4.6,48.5,55.6,16,13,0.31,11.1,46,5.6,3,2.5,54.7,3.3,1.3,2,38.2,0.37
46,"Iona Gaels",29,13.3,16.9,13.4,1.005,9.4,5.1,4.3,54,60.7,21,12.4,0.3,10.9,46.1,6.2,3.8,2.3,62,3.2,1.2,2,38.7,0.34
46,"Wichita State Shockers",27,14.4,17.3,14.5,1.005,10.5,5.3,5.2,50.4,56.7,17,13.1,0.32,12.1,45.5,7,4,3,56.6,3.5,1.3,2.2,37.9,0.33
46,"Portland State Vikings",27,15.7,18.4,15.8,1.005,11.9,6,6,50,55.1,14.4,11.8,0.28,10.1,47.4,8.4,4.7,3.6,56.6,3.6,1.2,2.3,34.4,0.3
46,"Rutgers Scarlet Knights",27,16,19.7,16,1.005,12.3,6,6.3,48.6,55.1,13.9,11.1,0.26,10.7,45.7,8,4.4,3.6,55.3,4.4,1.6,2.8,36.4,0.35
50,"Arkansas Razorbacks",29,15.2,16.9,15.2,1.002,12,5.7,6.3,47.6,56.1,13.2,8.8,0.22,7.5,45.1,6.9,3.7,3.3,52.7,5,2,3,40.4,0.42
51,"Middle Tennessee State Blue Raiders",26,14.4,18.7,14.4,1,10.8,5.7,5.2,52.3,57.8,16.3,11.8,0.27,11,46.8,7.7,4.5,3.3,57.7,3.1,1.2,1.9,38.8,0.28
52,"Southern Miss Golden Eagles",28,18.4,20.9,18.3,0.998,13.9,7.3,6.7,52.1,57.1,16.1,10.5,0.24,10.3,46.7,10.3,5.9,4.4,56.9,3.6,1.4,2.3,38.2,0.26
52,"Washington State Cougars",29,14.9,17.9,14.9,0.998,11.4,5.7,5.8,49.4,55.7,15.5,10.2,0.23,8.8,45.6,6.9,4.2,2.7,61.3,4.6,1.4,3.1,31.6,0.4
54,"Wisconsin-(Milwaukee) Panthers",29,12,15.3,12,0.997,9.8,4.4,5.3,45.4,52.8,10,11.5,0.25,10.9,45,5.3,3,2.3,56.1,4.4,1.4,3,32.6,0.45
55,"Prairie View A&M Panthers",26,21.7,22.6,21.7,0.996,16.5,8.6,7.8,52.3,55.6,15,12.2,0.29,11.2,48.3,12.9,7.5,5.4,58.3,3.5,1.1,2.5,30.4,0.21
55,"Florida State Seminoles",28,16.9,18.9,16.8,0.996,13,6.3,6.7,48.5,52.1,12.3,15.2,0.34,14.6,47.8,9.4,5.4,4.1,56.8,3.5,0.9,2.6,26.3,0.27
57,"Arkansas-(Little Rock) Trojans",28,12.5,15.6,12.4,0.989,9.6,4.8,4.9,49.4,55.4,15.1,9.1,0.23,6.9,45.4,6.4,3.6,2.8,56.7,3.3,1.1,2.1,35.2,0.34
58,"St. John's Red Storm",30,13.6,17.9,13.4,0.988,11,5.1,5.9,46.2,52,11,10.5,0.23,10.5,44.9,7.7,3.8,3.9,49.6,3.3,1.3,2,38.4,0.3
59,"Eastern Illinois Panthers",29,18.3,22.2,18.1,0.987,13.8,6.9,6.9,50.2,54.6,13.9,13.4,0.32,12.2,47.3,9.9,5.7,4.2,57.8,3.9,1.2,2.7,31,0.28
60,"North Florida Ospreys",27,21.6,25.8,21.3,0.985,16.4,8.3,8.1,50.7,54.8,14.2,12.2,0.29,11,46.7,11.5,7,4.5,60.6,5,1.4,3.6,27.6,0.3
61,"Toledo Rockets",25,13.8,17.6,13.6,0.983,10.8,4.8,6,44.6,51.7,12.5,11.9,0.27,10.7,43.8,6.7,3.3,3.4,49.7,4.2,1.5,2.6,36.5,0.38
62,"Northwestern State Demons",27,12.6,16.1,12.4,0.982,8.7,4.5,4.2,51.7,57.7,16.5,17.1,0.46,15.9,47.6,6,3.4,2.5,57.8,2.7,1,1.7,38.4,0.31
63,"Texas-(Rio Grande Valley) Vaqueros",28,13.8,17,13.5,0.979,11.2,5.2,6,46.6,52.2,11.1,9.8,0.22,9.3,45.5,7.8,4,3.8,51.2,3.4,1.3,2.2,36.5,0.31
64,"Florida Gulf Coast Eagles",27,12,15.1,11.8,0.978,9.1,4.5,4.7,49,55.3,16,12.6,0.27,12,44,5.8,3.3,2.4,57.7,3.4,1.1,2.2,34.1,0.37
64,"Central Michigan Chippewas",26,12.4,15.1,12.1,0.978,9.3,4.7,4.6,50.6,55.3,16.1,12.7,0.28,12.1,45.3,6.3,3.8,2.5,61,3,0.9,2.2,29.1,0.33
