sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
138,"Michigan Wolverines",29,60,89.5,52.6,0.877,44.3,19.6,24.7,44.2,49.2,16.2,12.5,0.31,8.6,41.5,30.9,15.2,15.7,49.2,13.3,4.4,9,32.8,0.3
138,"Yale Bulldogs",26,60.5,89.5,41.1,0.68,42.1,15.8,26.3,37.5,40,22.6,9.3,0.25,7.9,32.9,34.7,13.7,20.9,39.6,7.5,2.1,5.4,27.8,0.18
140,"Texas A&M-(Corpus Christi) Islanders",29,62.9,89.4,42,0.667,40.5,14.6,25.9,36,40.5,25.2,12,0.35,8.7,32.3,26.4,11,15.4,41.6,14,3.6,10.4,25.6,0.35
140,"Utah Valley Wolverines",27,61.3,89.4,46,0.75,41.3,15.6,25.7,37.8,42.4,21,13,0.37,9.8,36.5,29,11.7,17.3,40.5,12.3,3.9,8.4,31.3,0.3
142,"Furman Paladins",29,61.5,89.3,43.4,0.707,41.8,15.4,26.4,36.9,40.9,20.3,13.1,0.37,10.3,35.1,30.3,12.1,18.2,39.9,11.5,3.3,8.2,29,0.28
142,"Youngstown State Penguins",29,56.7,89.3,47.3,0.834,41.6,17.3,24.3,41.5,46.6,17.5,11.2,0.28,8,38.9,27.6,13.1,14.5,47.4,14,4.2,9.8,29.9,0.34
142,"Georgia Lady Bulldogs",30,58.6,89.3,50.6,0.863,42.7,18.2,24.5,42.6,48.1,17.3,12.1,0.31,9.3,40.2,28.9,13.5,15.4,46.7,13.8,4.7,9.1,34.1,0.32
142,"Wofford Terriers",28,61.3,89.3,50.3,0.82,47.4,18.6,28.8,39.3,44.3,14.3,9.9,0.24,8.2,38,32.1,13.9,18.2,43.3,15.3,4.7,10.5,30.9,0.32
146,"Maryland Terrapins",30,60.9,89.2,53.6,0.88,44.1,19.4,24.8,43.9,48.8,17.3,12.5,0.31,9.4,41.2,30.7,15,15.7,48.9,13.4,4.3,9.1,32.3,0.3
146,"UC San Diego Tritons",28,60.3,89.2,47.8,0.793,44.6,17.5,27.2,39.1,43.9,16.9,11.2,0.28,8.4,37,29.7,13.2,16.5,44.4,15,4.3,10.7,28.6,0.34
146,"Tarleton State Texans",28,63.5,89.2,45.6,0.718,44.8,16.6,28.3,37,41.2,20.1,11.3,0.29,9.3,34.2,31.3,12.8,18.5,40.8,13.6,3.8,9.8,28.2,0.3
146,"Southeastern Louisiana Lions",29,60.7,89.2,41.9,0.69,43.5,14.7,28.8,33.8,38.8,19.6,10.2,0.27,7.8,31.9,27.8,10.3,17.5,37.1,15.7,4.4,11.3,28,0.36
150,"TCU Horned Frogs",31,58.7,89.1,55.3,0.941,44.3,20.4,23.9,46,53.5,16.6,9.9,0.24,8,42.1,26.2,13.8,12.4,52.7,18.1,6.6,11.5,36.5,0.41
150,"North Dakota Fighting Hawks",30,59.5,89.1,43.3,0.728,39.8,14.6,25.3,36.6,43.1,23.5,10.9,0.31,8.3,33.4,20.4,9.4,11,46.2,19.5,5.2,14.3,26.5,0.49
150,"Harvard Crimson",26,61.4,89.1,46.8,0.763,45.4,17.2,28.2,37.8,43.1,18.4,9.5,0.23,7,35.2,29.8,12.5,17.3,41.9,15.7,4.7,10.9,30.2,0.34
153,"Saint Louis Billikens",31,62.2,89,45,0.724,43.3,15.9,27.3,36.8,40.4,20.5,11.8,0.32,8.8,34.9,30.6,12.8,17.8,41.9,12.6,3.1,9.5,24.5,0.29
